epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,573.119,2.23688,1.41783,1.77887,0.75183,0.58785,0.60025,0.24278,2.24003,1.32734,1.93336,9.7327e-05,9.7327e-05,9.7327e-05
56,589.124,2.25316,1.41031,1.77482,0.74348,0.56666,0.57345,0.16228,2.71774,1.42887,2.22479,9.72775e-05,9.72775e-05,9.72775e-05
57,598.068,2.2854,1.44271,1.8133,0.74209,0.59577,0.59093,0.266,1.98952,1.29181,1.81949,9.7228e-05,9.7228e-05,9.7228e-05
58,606.605,2.22482,1.40847,1.76835,0.75572,0.59841,0.59679,0.24671,2.20534,1.30358,1.90933,9.71785e-05,9.71785e-05,9.71785e-05
59,613.812,2.28835,1.40331,1.79763,0.74793,0.61147,0.59921,0.2669,2.06584,1.30324,1.83383,9.7129e-05,9.7129e-05,9.7129e-05
60,624.036,2.22722,1.38313,1.76399,0.75087,0.60766,0.59746,0.21375,2.40943,1.32924,2.03415,9.70795e-05,9.70795e-05,9.70795e-05
61,632.022,2.2046,1.36527,1.75193,0.75731,0.59974,0.59048,0.17614,2.61125,1.34055,2.15545,9.703e-05,9.703e-05,9.703e-05
62,653.712,2.2065,1.36839,1.75702,0.75327,0.61303,0.60312,0.23453,2.29858,1.28833,1.96449,9.69805e-05,9.69805e-05,9.69805e-05
63,671.841,2.18281,1.36041,1.73758,0.72697,0.59313,0.59075,0.1815,2.62429,1.34666,2.1737,9.6931e-05,9.6931e-05,9.6931e-05
64,680.167,2.18669,1.36332,1.74527,0.7534,0.61427,0.60913,0.25409,2.16784,1.2695,1.89133,9.68815e-05,9.68815e-05,9.68815e-05
65,688.518,2.22189,1.40315,1.7768,0.74941,0.60838,0.61452,0.24738,2.22947,1.28998,1.91871,9.6832e-05,9.6832e-05,9.6832e-05
66,696.212,2.1488,1.34707,1.71828,0.75741,0.61427,0.62111,0.26091,2.13831,1.28244,1.86888,9.67825e-05,9.67825e-05,9.67825e-05
67,703.521,2.15174,1.33022,1.69822,0.76406,0.61173,0.61819,0.2235,2.36045,1.31353,2.00112,9.6733e-05,9.6733e-05,9.6733e-05
68,711.086,2.2201,1.38255,1.7517,0.7753,0.60622,0.61928,0.27844,2.0125,1.22425,1.81102,9.66835e-05,9.66835e-05,9.66835e-05
69,720.216,2.13946,1.33258,1.70788,0.78355,0.60106,0.61137,0.2314,2.29241,1.25844,1.95288,9.6634e-05,9.6634e-05,9.6634e-05
70,727.661,2.13684,1.32007,1.69997,0.7547,0.61691,0.61406,0.23795,2.23951,1.31108,1.93449,9.65845e-05,9.65845e-05,9.65845e-05
71,735.019,2.15663,1.35641,1.74949,0.78745,0.60634,0.62765,0.26563,2.13394,1.25366,1.8606,9.6535e-05,9.6535e-05,9.6535e-05
72,745.412,2.15935,1.31762,1.72573,0.78002,0.6136,0.62544,0.28737,2.00561,1.21034,1.8011,9.64855e-05,9.64855e-05,9.64855e-05
73,755.154,2.17315,1.34086,1.73068,0.70902,0.57596,0.53703,0.13379,2.84045,1.37324,2.32227,9.6436e-05,9.6436e-05,9.6436e-05
74,766.32,2.1256,1.29961,1.70742,0.75998,0.61955,0.617,0.24802,2.19521,1.28328,1.90507,9.63865e-05,9.63865e-05,9.63865e-05
75,775.147,2.09962,1.29304,1.67526,0.74083,0.6103,0.59782,0.19984,2.46132,1.3212,2.05306,9.6337e-05,9.6337e-05,9.6337e-05
76,783.757,2.11853,1.29936,1.68992,0.78143,0.62342,0.63731,0.30491,1.8912,1.22093,1.7417,9.62875e-05,9.62875e-05,9.62875e-05
77,795.198,2.16876,1.30729,1.72274,0.75369,0.62655,0.62274,0.24166,2.27287,1.29285,1.94085,9.6238e-05,9.6238e-05,9.6238e-05
